location,common name,compass point,distance (NM),bearing
CYGX,GILLAM,N,340,3
CYYQ,CHURCHILL,N,455,3
CYIV,ISLAND LAKE,N,164,12
CZGR,LITTLE GRAND RAPIDS,N,52,17
CYFB,IQALUIT,NE,1144,36
CYTL,BIG TROUT LAKE,NE,271,48
CYPM,PIKANGIKUM,NE,83,60
CYAC,CAT LAKE,E,189,73
CYYT,ST. JOHNS,E,1677,75
CYPL,PICKLE LAKE,E,237,80
CYQM,MONCTON,E,1268,87
CYHZ,HALIFAX INTL,E,1345,89
CYRL,RED LAKE,E,84,92
CYUL,MONTREAL TRUDEAU,E,932,97
CYOW,OTTAWA INTL,E,882,101
CYSB,SUDBURY,E,659,104
CYXL,SIOUX LOOKOUT,E,170,108
CYAM,SAULT STE MARIE,SE,535,113
CYYZ,TORONTO PEARSON,SE,802,113
CYQT,THUNDER BAY,SE,321,116
CYHD,DRYDEN,SE,150,118
CYIB,ATIKOKAN,SE,224,125
CYQK,KENORA,SE,108,139
CYAG,FORT FRANCES,SE,184,142
KINL,INTERNATIONAL FALLS,SE,190,142
CYAX,LAC DU BONNET,S,57,175
KFAR,FARGO,S,262,182
KGFK,GRAND FORKS,S,203,188
CKK7,STEINBACH (SOUTH),S,109,189
CYWG,WINNIPEG INTL,SW,93,206
CYAV,ST.ANDREWS,SW,83,204
CYGM,GIMLI,SW,54,222
CYBR,BRANDON,SW,171,238
CYQR,REGINA,W,342,260
CYDN,DAUPHIN,W,183,263
CYQV,YORKTON,W,242,268
CYVR,VANCOUVER INTL,W,1045,269
CYYC,CALGARY,W,676,271
CYXE,SASKATOON,W,392,276
CZJN,SWAN RIVER,W,220,282
CYEG,EDMONTON INTL,W,655,283
CYPA,PRINCE ALBERT,W,374,287
CYQD,THE PAS,NW,275,306
CYFO,FLIN FLON,NW,335,312
CYBV,BERENS RIVER,NW,77,326
CYYL,LYNN LAKE,NW,381,329
CYNE,NORWAY HOUSE,NW,176,333
CYTH,THOMPSON,N,311,342
